127.0.0.1 - - [05/Jun/2024:00:14:21 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:14:22 +0900] "GET /JSPBook/Project/index.jsp HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:14:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:14:51 +0900] "GET /JSPBook/Project/index.jsp HTTP/1.1" 200 1167
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:16:25 +0900] "GET /JSPBook/Project/index.jsp HTTP/1.1" 200 938
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:18:13 +0900] "GET /JSPBook/Project/index.jsp HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:19:40 +0900] "GET /JSPBook/Project/index.jsp HTTP/1.1" 200 2134
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:22:05 +0900] "GET /JSPBook/Project/index.jsp HTTP/1.1" 200 2301
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:23:09 +0900] "GET /JSPBook/Project/index.jsp HTTP/1.1" 200 2308
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:23:25 +0900] "GET /JSPBook/Project/index.jsp HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:24:14 +0900] "GET /JSPBook/Project/index.jsp HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:24:20 +0900] "GET /JSPBook/Project/index.jsp HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:24:29 +0900] "GET /JSPBook/Project/index.jsp HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:26:10 +0900] "GET /JSPBook/Project/index.jsp HTTP/1.1" 200 3075
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:27:19 +0900] "GET /JSPBook/Project/index.jsp HTTP/1.1" 200 1989
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:32:02 +0900] "GET /JSPBook/Project/index.jsp HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:32:02 +0900] "GET /assets/background.jpg HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:33:10 +0900] "GET /JSPBook/Project/index.jsp HTTP/1.1" 200 2255
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:33:10 +0900] "GET /JSPBook/Project/background.jpg HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:34:10 +0900] "GET /JSPBook/Project/index.jsp HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:35:10 +0900] "GET /JSPBook/Project/index.jsp HTTP/1.1" 200 2264
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:35:10 +0900] "GET /JSPBook/Project/assets/background.jpg HTTP/1.1" 200 1209028
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:37:21 +0900] "GET /JSPBook/Project/index.jsp HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:37:21 +0900] "GET /JSPBook/Project/assets/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:38:09 +0900] "GET /JSPBook/Project/index.jsp HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:38:09 +0900] "GET /JSPBook/Project/assets/background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2024:00:38:47 +0900] "GET /JSPBook/Project/index.jsp HTTP/1.1" 200 2326
